,original keyword,generated sentence
22,plan for radiation, the person has a plan for radiation therapy
23,plan for chemo, the person's plan is to have chemo
24,appointments for injection, the person has appointments for injection to help with pain relief
25,appointments for dialysis, the person has appointments for dialysis ***
26,appointments for radiation, the person has appointments for radiation therapy ***
27,appointments for chemo, the person has appointments for chemo ***
28,planning physical therapy, the person is planning to start physical therapy
29,planning injection, the person is planning to have an injection
30,planning dialysis, the person is planning to have dialysis
31,planning radiation, the person is planning to have radiation therapy
32,planning chemo, the person is planning to have chemo
33,continue injection, the person will continue to have injections to help with the pain
34,continue dialysis, the person will continue to have dialysis ***
35,continue radiation, the person will continue radiation therapy
36,continue chemo, the person will continue to receive chemo therapy
37,will have physical therapy, the person will have physical therapy to help with his condition
38,will have injection, the person will have an injection to help with the pain
39,will have dialysis, the person will have dialysis ***
40,will have radiation, the person will have radiation therapy to help with the pain.
41,will have chemo, the person will have chemo next week
42,physical therapy, the person is doing physical therapy to help with his pain
43,injection, the person needs an injection for his pain
44,dialysis, the person is on dialysis
0,radiation, the person is receiving radiation therapy
1,no abdominal pain, the person has no abdominal pain ***
2,without pain, the person is without pain
3,progressing, the person is progressing well in his condition
4,stability, the person's condition is stable
5,no significant joint disease is noted, the person has no significant joint disease is noted
6,no significant soft tissue abnormality is identified, no significant soft tissue abnormality is identified on the person ***
7,urgent care, the person needs urgent care
8,found on mri, the mri showed that the person has intractable back pain
9,have on mri, the person has an mri to show the progress of the condition
10,crying at times, the person cries at times because of the pain
11,appears uncomfortable, the person appears uncomfortable and is in pain.
12,not able to walk, the person is not able to walk because of the pain
13,pain when, the person experiences pain when he moves his arm
14,extremity weakness, the person has extremity weakness
15,stable appearance, the person's appearance is stable
16,feel more sore, the person feels more sore today
17,more sore, the person is more sore today
18,not detected, the person's condition has not been detected
19,no pain, the person has no pain ***
20,knee injection, the person is getting a knee injection
21,next injection plan, the person's next injection plan is to be given on Monday
22,hand injury, the person has a hand injury
23,foot injury, the person has a foot injury
24,ankle injury, the person has an ankle injury
25,shoulder injury, the person has a shoulder injury
26,knee injury, the person has a knee injury
27,hand injection, the person needs a hand injection
28,foot injection, the person needs a foot injection
29,ankle injection, the person is getting an ankle injection
30,shoulder injection, the person is getting a shoulder injection
31,osteophytes, the person has osteophytes in his spine
32,severe narrowing, the person has severe narrowing of the spine
33,no complaints, the person has no complaints ***
34,concurrent chemo, the person is receiving concurrent chemo ***
35,concurrent physical therapy, the person is doing concurrent physical therapy to help with his condition
36,concurrent injection, the person is receiving a concurrent injection
37,concurrent dialysis, the person is receiving dialysis while also being treated for his condition
38,concurrent radiation, the person is receiving radiation therapy at the same time
39,no fevers, the person has no fevers ***
40,no chills, the person has no chills ***
41,possible returntowork, the person has a possible returntowork in the near future
42,continues to improve, the person continues to improve and is doing well
43,does not report any, the person does not report any pain ***
44,does not report any abnormal, the person does not report any abnormal changes in his condition
0,abnormal complications, the person has abnormal complications ***
1,does not endorse any fevers, the person does not endorse any fevers.
2,does not endorse any chills, the person does not endorse any chills ***
3,not experiencing much pain, the person is not experiencing much pain at the moment
4,not much pain, the person has not much pain
5,continues to see progress, the person continues to see progress in his condition
6,progress from physical therapy, the person has made progress from physical therapy
7,returning to work, the person is returning to work next week
8,restlessness, the person is restless and cannot sleep ***
9,routine antenatal care, the person is receiving routine antenatal care
10,retinal detachment, the person has retinal detachment
11,post-oprative positioning, the person is post-oprative positioning
12,nuclear sclerosis ou, the person has nuclear sclerosis of the eye
13,preoperative prophylactic iv antibiotics, the person is given preoperative prophylactic iv antibiotics to prevent infection.
14,preoperative prophylactic, the person is given preoperative prophylactic antibiotics to prevent infection.
15,abnormal, the person has an abnormal condition
16,decreased, the person's pain level has decreased
17,increased, the person's condition has increased ***
18,improved, the person's condition has improved
19,slightly better, the person's condition is slightly better
20,much better, the person's condition is much better
21,maintained, the person's condition is maintained
22,stabilized, the person's condition has stabilized
23,increased relative to previous, the person's condition has increased relative to the previous day
24,decreased relative to previous, the person's condition has decreased relative to what it was before
25,no status change, the person's condition has no change
26,changed status, the person's condition has changed for the better
27,unstable status, the person's status is unstable
28,change patterns, the person's change patterns are not good
29,worsening, the person's condition is worsening
30,increasing, the person's pain is increasing
31,decreasing, the person's pain is decreasing
32,improving, the person's condition is improving
33,stable, the person's condition is stable
34,improvement of status, the person's condition has improved
35,deterioration of status, the person's condition has deteriorated
36,slightly worse, the person's condition is slightly worse
37,much worse, the person's condition has gotten much worse
38,stabilization of status, the person's condition has stabilized and is not getting worse
39,patient condition poor, the patient's condition is poor
40,patient condition unstable, the person's condition is unstable and he is at high risk
41,patient condition satisfactory, the patient's condition is satisfactory
42,patient condition improved, the person's condition has improved ***
43,condition poor, the person's condition is poor
44,condition unstable, the person's condition is unstable
0,condition satisfactory, the person's condition is satisfactory
1,condition improved, the person's condition has improved
2,greatly improved, the person's condition has greatly improved
3,moderately improved, the person's condition has moderately improved
4,slightly improved, the person's condition has slightly improved
5,condition worsened, the person's condition has worsened
6,moderately worse, the person's condition is moderately worse
7,condition deteriorating, the person's condition is deteriorating
8,condition stable, the person's condition is stable
9,condition unchanged, the person's condition has no change
10,condition resolved, the person's condition has resolved itself
11,epilepsy resolved, the person's epilepsy has resolved itself
12,hypertension resolved, the person's hypertension has resolved itself
13,asthma resolved, the person's asthma has resolved itself
14,diabetes resolved, the person's diabetes has resolved itself
15,hyperthyroidism resolved, the person's hyperthyroidism has resolved itself.
16,skin cleared, the person's skin has cleared up
17,acute attack resolved, the person's acute attack has resolved itself
18,patient cured, the patient has been cured of his condition
19,condition appropriate for anesthesia, the person's condition is appropriate for anesthesia
20,condition made worse by work, the person's condition has been made worse by his work
21,condition appropriate for non-medication therapy, the person's condition is appropriate for non-medication therapy
22,condition undetermined, the person's condition is undetermined at this time
23,not recovering from, the person is not recovering from his injuries
24,headache, the person has a headache
25,migraine, the person has a migraine ***
26,angina, the person has angina ***
27,neuralgia, the person has neuralgia ***
28,atherosclerosis, the person has atherosclerosis ***
29,susceptible, the person is susceptible to high risk conditions.
30,moderately susceptible, the person is moderately susceptible to the disease.
31,intermediately susceptible, the person is intermediately susceptible to the disease
32,very good, the person is doing very good
33,moderately good, the person's condition is moderately good
34,very slow, the person's progress is very slow
35,increase, the person's condition has increased ***
36,decrease, the person's pain level has decreased
37,deficient, the person is deficient in his condition
38,efficient, the person's condition is efficient
39,exaggerated, the person's pain is exaggerated
40,excessive, the person has excessive back pain
41,impaired, the person's condition has impaired
42,inconsistent, the person's condition is inconsistent
43,inefficient, the person's condition is inefficient
44,heavy growth, the person has heavy growth in his tumor
0,moderate growth, the person has moderate growth in his condition
1,most significant, the person's most significant symptom is the pain
2,highly significant, the person's condition is highly significant
3,moderately significant, the person has moderately significant pain ***
4,not significant, the person's condition is not significantly different
5,minimally significant, the person's condition is minimally significant
6,significant, the person has significant pain in his back
7,insufficient, the person's condition is insufficient
8,very low, the person has a very low chance of survival
9,abnormally low, the person has an abnormally low level of white blood cells
10,inadequate, the person's progress is inadequate
11,abnormally high, the person has an abnormally high level of pain
12,abnormal, the person has an abnormal condition
13,improved, the person's condition has improved
14,better, the person's condition is getting better
15,slightly better, the person's condition is slightly better
16,much better, the person's condition is much better
17,a little better, the person's condition is a little better
18,improved somewhat, the person's condition has improved somewhat
19,improved relative to previous status, the person's condition has improved relative to previous status
20,improving, the person's condition is improving
21,improvement in status, the person's condition has improved
22,condition improving, the person's condition is improving
23,condition improved, the person's condition has improved
24,greatly improved, the person's condition has greatly improved
25,moderately improved, the person's condition has moderately improved
26,slightly improved, the person's condition has slightly improved
27,doing better, the person is doing better and his condition is improving
28,recovery progressing well, the person's recovery is progressing well
29,progressing well, the person is progressing well in his condition
30,symptoms improved, the person's symptoms have improved
31,symptoms resolved, the person's symptoms have resolved themselves
32,patient stable, the patient is stable and his condition is not worsening
33,symptoms stable, the person's symptoms are stable
34,patient unchanged, the patient's condition is unchanged from the last visit
35,symptoms unchanged, the person's symptoms have not changed
36,no change in symptoms, the person's condition has no change
37,no change in status, the person's condition has no change
38,condition unchanged, the person's condition has no change
39,condition same, the person's condition is the same
40,condition stable, the person's condition is stable
41,stable, the person's condition is stable
42,unchanged, the person's condition is unchanged
43,no improvement, the person has not shown any improvement in his condition
44,symptoms same, the person's symptoms are the same
0,continues with symptoms, the person continues with his symptoms
1,continues with no improvement, the person continues with no improvement
2,continues with no change, the person continues with no change
3,steady, the person's condition is steady
4,condition steady, the person's condition is steady
5,symptoms steady, the person's symptoms are steady ***
6,patient deteriorating, the person's condition is deteriorating
7,symptoms increased, the person's symptoms have increased
8,patient worse, the person's condition has worsened
9,symptoms worse, the person's symptoms have gotten worse
10,condition guarded, the person's condition is guarded
11,slightly worse, the person's condition is slightly worse
12,moderately worse, the person's condition is moderately worse
13,diagnosis worse, the person's diagnosis has gotten worse
14,much worse, the person's condition has gotten much worse
15,symptoms increasing, the person's symptoms are increasing
16,condition worsened, the person's condition has worsened
17,condition protracted, the person's condition has been protracted
18,declining, the person's condition is declining
19,patient declining, the person is declining in his condition
20,worsening, the person's condition is worsening
21,going backwards, the person's condition is going backwards
22,going downhill, the person's condition is going downhill
23,in decline, the person's condition is in decline
24,getting worse, the person's condition is getting worse
25,unstable, the person's condition is unstable
26,abnormal, the person has an abnormal condition
27,no new complaints, the person has no new complaints ***
28,no complain, the person has no complain about his condition
29,no chief complaint, the person has no main health problem ***
30,no history or complaints, the person has no history or complaints of the condition ***
31,no other complaints, the person has no other complaints other than the pain
32,no unusual complaints, the person has no unusual complaints at this time
33,denied any physical complaints, the person denied any physical complaints when asked by the doctor
34,no concerns/complaints, the person has no concerns or complaints at this time
35,no other issues or complaints, the person has no other issues or complaints other than the pain
36,no other/new musculoskeletal complaints, the person has no other or new musculoskeletal complaints ***
37,without major complaint, the person is without major complaint
38,no significant compliants, the person has no significant complaints at this time
39,no sexual complaints, the person has no sexual complaints ***
40,no acute complaints, the person has no acute complaints at this time
41,no gynecologic complaints, the person has no gynecologic complaints ***
42,no further complaints, the person has no further complaints at this time
43,denies complaints, the person denies any complaints of pain
44,complaint is severe, the person's complaint is severe
0,denies numbness or tingling into their extremities, the person denies numbness or tingling into their extremities
1,denies headache and back pain, the person denies having headache and back pain
2,denies suicidal ideation, the person denies having suicidal thoughts
3,denies acute suicidality, the person denies any thoughts or plans of suicide
4,insomnia denied, the person denies having insomnia ***
5,"denies: fever, dry eyes, dry mouth, leg swelling, shortness of breath, constipation, involuntary urine"," the person denies having fever, dry eyes, dry mouth, leg swelling, shortness of breath, constipation, involuntary urine"
6,"denies : fever, weight loss, weight gain"," the person denies having any fever, weight loss, or weight gain."
7,"denies : impaired vision, changes in vision", the person denies any changes in his vision.
8,"denies : headaches, vertigo", the person denies having headaches or vertigo ***
9,denies chest pain, the person denies having chest pain
10,denies fever, the person denies having a fever
11,denies numbness, the person denies numbness in his extremities
12,denies pain, the person denies pain ***
13,denies nausea, the person denies having nausea ***
14,denies numbness or tingling, the person denies numbness or tingling in his extremities
15,denies anxiety, the person denies having anxiety ***
16,denies chills, the person denies having chills ***
17,denies headache, the person denies having a headache
18,denies fever chills, the person denies having fever or chills ***
19,denies dizziness, the person denies having any dizziness ***
20,denies fevers, the person denies having any fevers ***
21,denies tobacco, the person denies tobacco use
22,denies syncope, the person denies syncope ***
23,denies weight loss, the person denies any weight loss
24,denies sob, the person denies sob
25,denies nausea vomiting, the person denies having nausea or vomiting
26,denies change in appetite, the person denies change in appetite
27,denies fatigue, the person denies having fatigue ***
28,denies chest pain or shortness, the person denies chest pain or shortness of breath.
29,denies chest pain or shortness of, the person denies chest pain or shortness of breath.
30,denies headaches, the person denies having headaches
31,denies anxiety depression, the person denies having anxiety or depression
32,denies cough, the person denies having a cough
33,denies itching, the person denies itching
34,denies weight gain, the person denies any weight gain
35,denies thoughts of, the person denies having thoughts of harming himself ***
36,denies complaints or symptoms, the person denies any complaints or symptoms
37,denies vision changes, the person denies any changes in his vision
38,denies fevers chills, the person denies having any fevers or chills ***
39,denies dysuria, the person denies having dysuria ***
40,deniesod suicidal, the person denies any suicidal thoughts.
41,denies breast, the person denies having any breast pain
42,denies symptoms, the person denies any symptoms ***
43,denies hallucinations, the person denies having hallucinations
44,denies neck pain, the person denies having neck pain
0,denies syncope melena, the person denies syncope melena
1,denies syncope melena hematuria, the person denies syncope melena hematuria
2,denies chest pain no shortness, the person denies chest pain or shortness of breath.
3,denies chills denies, the person denies having chills or any other changes in his condition
4,denies chills denies fatigue, the person denies having chills or fatigue
5,denies fatiguedenies, the person denies being fatigued.
6,denies fatiguedenies fever, the person denies having fatigue or fever.
7,denies fever denies, the person denies having a fever or any other symptoms ***
8,denies pain at, the person denies pain at the moment
9,denies pain at this time, the person denies pain at this time
10,denies any, the person denies any change in his condition
11,no rash, the person has no rash ***
12,no fever, the person has no fever ***
13,no cough, the person has no cough ***
14,no sinus, the person has no sinus tachycardia ***
15,no blood, the person has no blood in his stool ***
16,no hives, the person has no hives ***
17,no edema, the person has no edema ***
18,no nerve, the person has no nerve pain ***
19,no weight, the person has no weight on him ***
20,no nausea, the person has no nausea ***
21,no chills, the person has no chills ***
22,no fevers, the person has no fevers ***
23,no throat, the person has no throat pain ***
24,no melena, the person has no melena ***
25,no muscle, the person has no muscle pain ***
26,no trauma, the person has no trauma ***
27,no breast, the person has no breast cancer ***
28,no eczema, the person has no eczema ***
29,no kidney, the person has no kidney ***
30,no ulcers, the person has no ulcers on his body
31,no hearing, the person has no hearing ***
32,no dysuria, the person has no dysuria ***
33,no itching, the person has no itching ***
34,no dyspnea, the person has no dyspnea ***
35,no fatigue, the person has no fatigue ***
36,no myalgia, the person has no myalgia ***
37,no syncope, the person has no syncope ***
38,no changes, the person's condition has no change
39,no history, the person has no history of the disease ***
40,no vomiting, the person has not vomited in the past few hours
41,no headache, the person has no headache ***
42,no wheezing, the person has no wheezing ***
43,no diarrhea, the person has no diarrhea ***
44,no eye pain, the person has no eye pain
0,no diplopia, the person has no diplopia ***
1,no ear pain, the person has no ear pain ***
2,no seizures, the person has not had any seizures
3,no pressure, the person has no pressure on his condition
4,no pruritus, the person has no pruritus ***
5,no fever or, the person has no fever or chills ***
6,no tinnitus, the person has no tinnitus ***
7,no weakness, the person has no weakness in his condition
8,no problems, the person has no problems ***
9,no bload in, the person has no blood in his stool ***
10,no erythema, the person has no erythema ***
11,no bruising, the person has no bruising on his body
12,no change in, the person's condition has no change in ***
13,no shortness, the person has no shortness of breath ***
14,no hematuria, the person has no hematuria ***
15,no headaches, the person has no headaches ***
16,no change of, the person's condition has no change
17,no back pain, the person has no back pain ***
18,no trauma or, the person has no trauma or other conditions that could be causing the pain
19,no endocrine, the person has no endocrine problems
20,no hair loss, the person has not shown any hair loss ***
21,no allergies, the person has no allergies ***
22,no cough and, the person has no cough and is feeling better.
23,no dizziness, the person has no dizziness ***
24,no ear kahan, ***
25,no neck pain, the person has no neck pain
26,no abrasions, the person has no abrasions on his body
27,no hip joint, the person has no hip joint ***
28,no postnasal, the person has no postnasal drip ***
29,no chest pain, the person has no chest pain ***
30,no sinus pain, the person has no sinus pain ***
31,no hemoptysis, the person has no hemoptysis
32,no history of, the person has no history of back pain
33,no knae joint, ***
34,no nerve pain, the person has no nerve pain
35,no weight loss, the person has not lost any weight
36,no blood clots, the person has no blood clots in his system
37,no pressure ho, the person has no pressure ho
38,no muscle pain, the person has no muscle pain
39,no paresthesia, the person has no paresthesia ***
40,no hematologic, the person has no hematologic changes in his condition
41,no shortness of, the person has no shortness of breath ***
42,no hearing loss, the person has no hearing loss
43,no eye symptoms, the person has no eye symptoms
44,no ear symptoms, the person has no ear symptoms
0,no palpitations, the person has no palpitations ***
1,no constipation, the person has no constipation ***
2,no night sweats, the person has no night sweats ***
3,no allergies to, the person has no allergies to anything
4,no seizures all, the person has not had any seizures all day
5,no fevers nasal, the person has no fevers or nasal discharge
6,no cye symptoms, the person has no cye symptoms
7,no skin changes, the person has no skin changes
8,no fatigue eyes, the person has no fatigue eyes
9,no paipitations, the person has no paipitations in his condition
10,no diplopia and, the person has no diplopia and his condition is improving
11,no neck symptoms, the person has no neck symptoms
12,no genitourinary, ***       key words: no change -> sentence:  the person's condition has no change
13,no skin symptoms, the person has no skin symptoms
14,no kidney stones, the person has no kidney stones ***
15,no limb weakness, the person has no limb weakness
16,no changesreview, the person's condition has no change
17,no head symptoms, the person has no head symptoms
18,no headache eyes, the person has no headache or eyes pain
19,no ankle swelling, the person has no ankle swelling ***
20,no itching rashes, the person has no itching rashes
21,no tenderness, the person has no tenderness in his back
22,"denied fever, chills, weight gain"," the person denied having any fever, chills, or weight gain."
23,no concerning symptoms, the person has no concerning symptoms at this time
24,feeling well, the person is feeling well today
25,feeling better, the person is feeling better and his condition is improving
26,feeling much better, the person is feeling much better and his condition is improving
27,feeling somewhat better, the person is feeling somewhat better today
28,feeling pretty good, the person is feeling pretty good considering his condition
29,feeling consistently improved, the person feeling consistently improved and has a good prognosis
30,feeling better mentally, the person is feeling better mentally
31,feeling really good, the person feeling really good and his condition is improving
32,feeling pretty decent, the person feeling pretty decent today
33,feeling good, the person is feeling good today
34,feeling good otherwise, the person is feeling good otherwise
35,feeling better overall, the person is feeling better overall
36,feeling better over, the person has been feeling better over the past few days
37,feels much better, the person feels much better and his condition has improved
38,feeling better since, the person has been feeling better since the last checkup
39,feeling better each, the person is feeling better each day
40,feels better, the person feels better and his condition has improved
41,feels better than, the person feels better than he did before
42,feeling fine, the person is feeling fine and has no pain ***
43,feels great, the person feels great and his condition is improving
44,feeling confident, the person is feeling confident about his condition
0,feel safe, the person feels safe to go home
1,doing well, the person is doing well in his condition
2,getting well, the person is getting well
3,feeling poorly, the person is feeling poorly today
4,feeling more depressed, the person has been feeling more depressed lately
5,feeling more sad, the person has been feeling more sad lately
6,feeling very dizzy, the person is feeling very dizzy and needs to see a doctor ***
7,feeling very emotional, the person is feeling very emotional about his condition
8,feeling less connected, the person is feeling less connected to his friends and family.
9,feeling so sick, the person is feeling so sick that he can't move.
10,feeling so overwhelmed, the person is feeling so overwhelmed with his condition
11,feeling tired, the person is feeling tired today
12,feeling nervous, the person is feeling nervous about his condition
13,feeling afraid, the person is feeling afraid of the situation
14,feeling bad, the person is feeling bad today
15,feeling bad about, the person is feeling bad about his/her condition
16,feeling dizzy, the person is feeling dizzy and lightheaded
17,feeling faint, the person is feeling faint and his blood pressure is low.
18,feeling depressed, the person is feeling depressed because of his condition
19,feeling anxious, the person is feeling anxious about his condition
20,feeling fatigued, the person is feeling fatigued
21,feeling worse, the person is feeling worse
22,feeling afraid as, the person is feeling afraid as he is at high risk
23,feeling hopeless, the person is feeling hopeless about his condition
24,feels constant, the person feels constant pain in his back
25,feels constant dizziness, the person feels constant dizziness and it is affecting his daily activities.
26,feeling fatigued since, the person has been feeling fatigued since the surgery
27,feeling sick, the person is feeling sick and needs to see a doctor
28,feeling frustrated, the person is feeling frustrated because of the lack of progress
29,feeling sluggish, the person is feeling sluggish and has no energy
30,feeling somewhat, the person is feeling somewhat better today
31,feeling other, the person is feeling other emotions such as anxiety or depression.
32,feeling very, the person is feeling very frustrated with his condition
33,feeling delirious, the person is feeling delirious and needs medical attention
34,feeling strongly, the person is feeling strongly about his condition
35,feeling strongly about, the person is feeling strongly about the pain he is in.
36,feeling fetal, the person is feeling fetal ***
37,feeling fetal movement, the person is feeling fetal movement
38,feeling frustrated knowing, the person is feeling frustrated knowing that his pain is not going away ***
39,feeling confident driving, the person is feeling confident driving again
40,feeling anxious every, the person is feeling anxious every day
41,feeling irritated, the person is feeling irritated
42,feeling looser, the person's feeling looser in his condition
43,feeling funny, the person is feeling funny ***
44,feeling much more, the person feeling much more better today
0,feels fairly tight, the person's muscles feels fairly tight
1,feeling low, the person is feeling low today
2,feeling worthless, the person has been feeling worthless lately
3,feeling worse than, the person is feeling worse than when he first came in ***
4,feeling anymore, the person does not feel any pain anymore
5,feeling consistently, the person has been feeling consistently better since the last checkup
6,feeling fuzzy, the person is feeling fuzzy and out of it.
7,feeling sore, the person is feeling sore today
8,feeling sad, the person is feeling sad today
9,feeling clearer, the person feeling clearerheaded and more alert
10,feeling jumpy, the person is feeling jumpy
11,feeling puffy, the person is feeling puffy and has a lot of fluid retention
12,feeling short, the person is feeling short of breath
13,feeling short of, the person is feeling short of breath
14,feels depressed, the person feels depressed because of his condition
15,feeling horrible, the person is feeling horrible and needs help
16,feels tight, the person's muscles feel tight
